Potential applied (V);Time (s);WE(1).Current (A);Scan;Index;Q+;Q-;Current range
0,010070801;1,545479996;-0,000265045;1;1;0,005809117;-0,005269692;1 mA
0,020141602;1,646187996;-0,000240021;1;2;0,005809117;-0,005269692;1 mA
0,030212402;1,746895996;-0,000217682;1;3;0,005809117;-0,005269692;1 mA
0,040283203;1,847603995;-0,000197388;1;4;0,005809117;-0,005269692;1 mA
0,050354004;1,948311995;-0,000178406;1;5;0,005809117;-0,005269692;1 mA
0,060424805;2,049019995;-0,000160553;1;6;0,005809117;-0,005269692;1 mA
0,070495605;2,149727995;-0,000143555;1;7;0,005809117;-0,005269692;1 mA
0,080566406;2,250435994;-0,000127197;1;8;0,005809117;-0,005269692;1 mA
0,090637207;2,351143994;-0,000111237;1;9;0,005809117;-0,005269692;1 mA
0,100708008;2,451851994;-9,56E-05;1;10;0,005809117;-0,005269692;1 mA
0,110778809;2,552559994;-8,03E-05;1;11;0,005809117;-0,005269692;1 mA
0,120849609;2,653267993;-6,52E-05;1;12;0,005809117;-0,005269692;1 mA
0,13092041;2,753975993;-5,00E-05;1;13;0,005809117;-0,005269692;1 mA
0,140991211;2,854683993;-3,48E-05;1;14;0,005809117;-0,005269692;1 mA
0,151062012;2,955391993;-1,98E-05;1;15;0,005809117;-0,005269692;100 µA
0,161132813;3,056099992;-4,79E-06;1;16;0,005809117;-0,005269692;100 µA
0,171203613;3,156807992;1,03E-05;1;17;0,005809117;-0,005269692;100 µA
0,181274414;3,257515992;2,55E-05;1;18;0,005809117;-0,005269692;100 µA
0,191345215;3,358223992;4,09E-05;1;19;0,005809117;-0,005269692;100 µA
0,201416016;3,458931991;5,64E-05;1;20;0,005809117;-0,005269692;100 µA
0,211486816;3,559639991;7,23E-05;1;21;0,005809117;-0,005269692;100 µA
0,221557617;3,660347991;8,86E-05;1;22;0,005809117;-0,005269692;100 µA
0,231628418;3,761055991;0,000105255;1;23;0,005809117;-0,005269692;100 µA
0,241699219;3,86176399;0,000122528;1;24;0,005809117;-0,005269692;100 µA
0,25177002;3,96247199;0,00014032;1;25;0,005809117;-0,005269692;100 µA
0,26184082;4,06317999;0,000158783;1;26;0,005809117;-0,005269692;100 µA
0,271911621;4,163887989;0,000177795;1;27;0,005809117;-0,005269692;100 µA
0,281982422;4,264595989;0,000197449;1;28;0,005809117;-0,005269692;100 µA
0,292053223;4,365303989;0,000217682;1;29;0,005809117;-0,005269692;100 µA
0,302124023;4,466011989;0,000238403;1;30;0,005809117;-0,005269692;100 µA
0,312194824;4,566719988;0,00025946;1;31;0,005809117;-0,005269692;100 µA
0,322265625;4,667427988;0,000280914;1;32;0,005809117;-0,005269692;100 µA
0,332336426;4,768135988;0,000302521;1;33;0,005809117;-0,005269692;100 µA
0,342407227;4,868843988;0,000324097;1;34;0,005809117;-0,005269692;100 µA
0,352478027;4,969551987;0,00034552;1;35;0,005809117;-0,005269692;100 µA
0,362548828;5,070259987;0,00036676;1;36;0,005809117;-0,005269692;100 µA
0,372619629;5,170967987;0,000387573;1;37;0,005809117;-0,005269692;100 µA
0,38269043;5,271675987;0,000407867;1;38;0,005809117;-0,005269692;100 µA
0,39276123;5,372383986;0,000427185;1;39;0,005809117;-0,005269692;1 mA
0,402832031;5,473091986;0,000446045;1;40;0,005809117;-0,005269692;1 mA
0,412902832;5,573799986;0,000464142;1;41;0,005809117;-0,005269692;1 mA
0,422973633;5,674507986;0,000481232;1;42;0,005809117;-0,005269692;1 mA
0,433044434;5,775215985;0,000497345;1;43;0,005809117;-0,005269692;1 mA
0,443115234;5,875923985;0,000512695;1;44;0,005809117;-0,005269692;1 mA
0,453186035;5,976631985;0,000526733;1;45;0,005809117;-0,005269692;1 mA
0,463256836;6,077339985;0,000539856;1;46;0,005809117;-0,005269692;1 mA
0,473327637;6,178047984;0,000551758;1;47;0,005809117;-0,005269692;1 mA
0,483398438;6,278755984;0,000563049;1;48;0,005809117;-0,005269692;1 mA
0,493469238;6,379463984;0,00057312;1;49;0,005809117;-0,005269692;1 mA
0,503540039;6,480171984;0,000582581;1;50;0,005809117;-0,005269692;1 mA
0,51361084;6,580879983;0,000591125;1;51;0,005809117;-0,005269692;1 mA
0,523681641;6,681587983;0,00059906;1;52;0,005809117;-0,005269692;1 mA
