Potential applied (V);Time (s);WE(1).Current (A);Scan;Index;Q+;Q-;Current range
0,010070801;1,601509996;-9,9884E-05;1;1;0,006063891;-0,004271544;1 mA
0,020141602;1,702217996;-8,95691E-05;1;2;0,006063891;-0,004271544;1 mA
0,030212402;1,802925995;-8,02002E-05;1;3;0,006063891;-0,004271544;1 mA
0,040283203;1,903633995;-7,16553E-05;1;4;0,006063891;-0,004271544;1 mA
0,050354004;2,004341995;-6,37207E-05;1;5;0,006063891;-0,004271544;1 mA
0,060424805;2,105049995;-5,63354E-05;1;6;0,006063891;-0,004271544;100 µA
0,070495605;2,205757994;-4,95605E-05;1;7;0,006063891;-0,004271544;100 µA
0,080566406;2,306465994;-4,32373E-05;1;8;0,006063891;-0,004271544;100 µA
0,090637207;2,407173994;-3,73077E-05;1;9;0,006063891;-0,004271544;100 µA
0,100708008;2,507881994;-3,18085E-05;1;10;0,006063891;-0,004271544;100 µA
0,110778809;2,608589993;-2,66449E-05;1;11;0,006063891;-0,004271544;100 µA
0,120849609;2,709297993;-2,18231E-05;1;12;0,006063891;-0,004271544;100 µA
0,13092041;2,810005993;-1,72791E-05;1;13;0,006063891;-0,004271544;100 µA
0,140991211;2,910713993;-1,297E-05;1;14;0,006063891;-0,004271544;100 µA
0,151062012;3,011421992;-8,89587E-06;1;15;0,006063891;-0,004271544;100 µA
0,161132813;3,112129992;-5,00793E-06;1;16;0,006063891;-0,004271544;100 µA
0,171203613;3,212837992;-1,30737E-06;1;17;0,006063891;-0,004271544;100 µA
0,181274414;3,313545992;2,24426E-06;1;18;0,006063891;-0,004271544;100 µA
0,191345215;3,414253991;5,65491E-06;1;19;0,006063891;-0,004271544;100 µA
0,201416016;3,514961991;9,08508E-06;1;20;0,006063891;-0,004271544;10 µA
0,211486816;3,615669991;1,24329E-05;1;21;0,006063891;-0,004271544;10 µA
0,221557617;3,716377991;1,58112E-05;1;22;0,006063891;-0,004271544;10 µA
0,231628418;3,81708599;1,9281E-05;1;23;0,006063891;-0,004271544;10 µA
0,241699219;3,91779399;2,29187E-05;1;24;0,006063891;-0,004271544;10 µA
0,25177002;4,01850199;2,67944E-05;1;25;0,006063891;-0,004271544;10 µA
0,26184082;4,11920999;3,09753E-05;1;26;0,006063891;-0,004271544;10 µA
0,271911621;4,219917989;3,55347E-05;1;27;0,006063891;-0,004271544;10 µA
0,281982422;4,320625989;4,05365E-05;1;28;0,006063891;-0,004271544;10 µA
0,292053223;4,421333989;4,60114E-05;1;29;0,006063891;-0,004271544;100 µA
0,302124023;4,522041989;5,21851E-05;1;30;0,006063891;-0,004271544;100 µA
0,312194824;4,622749988;5,896E-05;1;31;0,006063891;-0,004271544;100 µA
0,322265625;4,723457988;6,65283E-05;1;32;0,006063891;-0,004271544;100 µA
0,332336426;4,824165988;7,49207E-05;1;33;0,006063891;-0,004271544;100 µA
0,342407227;4,924873988;8,4198E-05;1;34;0,006063891;-0,004271544;100 µA
0,352478027;5,025581987;9,43604E-05;1;35;0,006063891;-0,004271544;100 µA
0,362548828;5,126289987;0,00010556;1;36;0,006063891;-0,004271544;100 µA
0,372619629;5,226997987;0,000117828;1;37;0,006063891;-0,004271544;100 µA
0,38269043;5,327705987;0,000131226;1;38;0,006063891;-0,004271544;100 µA
0,39276123;5,428413986;0,000145752;1;39;0,006063891;-0,004271544;100 µA
0,402832031;5,529121986;0,000161438;1;40;0,006063891;-0,004271544;100 µA
0,412902832;5,629829986;0,000178375;1;41;0,006063891;-0,004271544;100 µA
0,422973633;5,730537986;0,000196411;1;42;0,006063891;-0,004271544;100 µA
0,433044434;5,831245985;0,000215668;1;43;0,006063891;-0,004271544;100 µA
0,443115234;5,931953985;0,000236053;1;44;0,006063891;-0,004271544;100 µA
0,453186035;6,032661985;0,000257629;1;45;0,006063891;-0,004271544;100 µA
0,463256836;6,133369985;0,000280182;1;46;0,006063891;-0,004271544;100 µA
0,473327637;6,234077984;0,000303741;1;47;0,006063891;-0,004271544;100 µA
0,483398438;6,334785984;0,000328217;1;48;0,006063891;-0,004271544;100 µA
0,493469238;6,435493984;0,000353455;1;49;0,006063891;-0,004271544;100 µA
0,503540039;6,536201983;0,000379333;1;50;0,006063891;-0,004271544;100 µA
0,51361084;6,636909983;0,000405701;1;51;0,006063891;-0,004271544;100 µA
0,523681641;6,737617983;0,000432129;1;52;0,006063891;-0,004271544;1 mA
0,533752441;6,838325983;0,000459198;1;53;0,006063891;-0,004271544;1 mA
0,543823242;6,939033982;0,000486359;1;54;0,006063891;-0,004271544;1 mA
0,553894043;7,039741982;0,000513611;1;55;0,006063891;-0,004271544;1 mA
0,563964844;7,140449982;0,000540771;1;56;0,006063891;-0,004271544;1 mA
0,574035645;7,241157982;0,000567322;1;57;0,006063891;-0,004271544;1 mA
0,584106445;7,341865981;0,000593262;1;58;0,006063891;-0,004271544;1 mA
0,594177246;7,442573981;0,000618591;1;59;0,006063891;-0,004271544;1 mA
0,604248047;7,543281981;0,000643005;1;60;0,006063891;-0,004271544;1 mA
0,614318848;7,643989981;0,000666809;1;61;0,006063891;-0,004271544;1 mA
0,624389648;7,74469798;0,000689392;1;62;0,006063891;-0,004271544;1 mA
0,634460449;7,84540598;0,000710754;1;63;0,006063891;-0,004271544;1 mA
0,64453125;7,94611398;0,000730896;1;64;0,006063891;-0,004271544;1 mA
0,654602051;8,04682198;0,000749207;1;65;0,006063891;-0,004271544;1 mA
0,664672852;8,147529979;0,000766296;1;66;0,006063891;-0,004271544;1 mA
0,674743652;8,248237979;0,000781555;1;67;0,006063891;-0,004271544;1 mA
0,684814453;8,348945979;0,000795288;1;68;0,006063891;-0,004271544;1 mA
0,694885254;8,449653979;0,00080719;1;69;0,006063891;-0,004271544;1 mA
0,704956055;8,550361978;0,000817566;1;70;0,006063891;-0,004271544;1 mA
0,715026855;8,651069978;0,000826111;1;71;0,006063891;-0,004271544;1 mA
0,725097656;8,751777978;0,00083313;1;72;0,006063891;-0,004271544;1 mA
0,735168457;8,852485978;0,000838013;1;73;0,006063891;-0,004271544;1 mA
0,745239258;8,953193977;0,000841675;1;74;0,006063891;-0,004271544;1 mA
0,755310059;9,053901977;0,000843506;1;75;0,006063891;-0,004271544;1 mA
0,765380859;9,154609977;0,000843811;1;76;0,006063891;-0,004271544;1 mA
0,77545166;9,255317977;0,00084259;1;77;0,006063891;-0,004271544;1 mA
0,785522461;9,356025976;0,000840149;1;78;0,006063891;-0,004271544;1 mA
0,795593262;9,456733976;0,000836182;1;79;0,006063891;-0,004271544;1 mA
0,805664063;9,557441976;0,000831299;1;80;0,006063891;-0,004271544;1 mA
0,815734863;9,658149976;0,000825195;1;81;0,006063891;-0,004271544;1 mA
0,825805664;9,758857975;0,000818176;1;82;0,006063891;-0,004271544;1 mA
0,835876465;9,859565975;0,000810547;1;83;0,006063891;-0,004271544;1 mA
0,845947266;9,960273975;0,000802002;1;84;0,006063891;-0,004271544;1 mA
0,856018066;10,06098197;0,000793152;1;85;0,006063891;-0,004271544;1 mA
0,866088867;10,16168997;0,000783691;1;86;0,006063891;-0,004271544;1 mA
0,876159668;10,26239797;0,000773926;1;87;0,006063891;-0,004271544;1 mA
0,886230469;10,36310597;0,000763855;1;88;0,006063891;-0,004271544;1 mA
0,89630127;10,46381397;0,000753784;1;89;0,006063891;-0,004271544;1 mA
0,90637207;10,56452197;0,000743408;1;90;0,006063891;-0,004271544;1 mA
0,916442871;10,66522997;0,000733032;1;91;0,006063891;-0,004271544;1 mA
0,926513672;10,76593797;0,000722961;1;92;0,006063891;-0,004271544;1 mA
0,936584473;10,86664597;0,000712891;1;93;0,006063891;-0,004271544;1 mA
0,946655273;10,96735397;0,000703125;1;94;0,006063891;-0,004271544;1 mA
0,956726074;11,06806197;0,000693359;1;95;0,006063891;-0,004271544;1 mA
0,966796875;11,16876997;0,000683899;1;96;0,006063891;-0,004271544;1 mA
0,976867676;11,26947797;0,000674744;1;97;0,006063891;-0,004271544;1 mA
0,986938477;11,37018597;0,000665894;1;98;0,006063891;-0,004271544;1 mA
0,997009277;11,47089397;0,000657349;1;99;0,006063891;-0,004271544;1 mA
1,007080078;11,57160197;0,000648804;1;100;0,006063891;-0,004271544;1 mA
0,997009277;11,67230997;0,000627747;1;101;0,006063891;-0,004271544;1 mA
0,986938477;11,77301797;0,000610352;1;102;0,006063891;-0,004271544;1 mA
0,976867676;11,87372597;0,000595093;1;103;0,006063891;-0,004271544;1 mA
0,966796875;11,97443397;0,00058136;1;104;0,006063891;-0,004271544;1 mA
0,956726074;12,07514197;0,000568542;1;105;0,006063891;-0,004271544;1 mA
0,946655273;12,17584997;0,000556335;1;106;0,006063891;-0,004271544;1 mA
0,936584473;12,27655797;0,000545044;1;107;0,006063891;-0,004271544;1 mA
0,926513672;12,37726597;0,000534363;1;108;0,006063891;-0,004271544;1 mA
0,916442871;12,47797397;0,000523987;1;109;0,006063891;-0,004271544;1 mA
0,90637207;12,57868197;0,000514221;1;110;0,006063891;-0,004271544;1 mA
0,89630127;12,67938997;0,000504456;1;111;0,006063891;-0,004271544;1 mA
0,886230469;12,78009797;0,000494904;1;112;0,006063891;-0,004271544;1 mA
0,876159668;12,88080597;0,000485779;1;113;0,006063891;-0,004271544;1 mA
0,866088867;12,98151397;0,000476837;1;114;0,006063891;-0,004271544;1 mA
0,856018066;13,08222197;0,000468018;1;115;0,006063891;-0,004271544;1 mA
0,845947266;13,18292997;0,000459381;1;116;0,006063891;-0,004271544;1 mA
0,835876465;13,28363797;0,000450806;1;117;0,006063891;-0,004271544;1 mA
0,825805664;13,38434597;0,000442291;1;118;0,006063891;-0,004271544;1 mA
0,815734863;13,48505397;0,000433807;1;119;0,006063891;-0,004271544;1 mA
0,805664063;13,58576197;0,000425385;1;120;0,006063891;-0,004271544;1 mA
0,795593262;13,68646997;0,000416901;1;121;0,006063891;-0,004271544;1 mA
0,785522461;13,78717797;0,000408478;1;122;0,006063891;-0,004271544;1 mA
0,77545166;13,88788596;0,000399933;1;123;0,006063891;-0,004271544;1 mA
0,765380859;13,98859396;0,000391388;1;124;0,006063891;-0,004271544;1 mA
0,755310059;14,08930196;0,000382721;1;125;0,006063891;-0,004271544;1 mA
0,745239258;14,19000996;0,000374054;1;126;0,006063891;-0,004271544;1 mA
0,735168457;14,29071796;0,000365234;1;127;0,006063891;-0,004271544;1 mA
0,725097656;14,39142596;0,000356384;1;128;0,006063891;-0,004271544;1 mA
0,715026855;14,49213396;0,000347351;1;129;0,006063891;-0,004271544;1 mA
0,704956055;14,59284196;0,000338226;1;130;0,006063891;-0,004271544;1 mA
0,694885254;14,69354996;0,000328949;1;131;0,006063891;-0,004271544;1 mA
0,684814453;14,79425796;0,000319702;1;132;0,006063891;-0,004271544;1 mA
0,674743652;14,89496596;0,000310181;1;133;0,006063891;-0,004271544;1 mA
0,664672852;14,99567396;0,000300598;1;134;0,006063891;-0,004271544;1 mA
0,654602051;15,09638196;0,000290894;1;135;0,006063891;-0,004271544;1 mA
0,64453125;15,19708996;0,000281097;1;136;0,006063891;-0,004271544;1 mA
0,634460449;15,29779796;0,000271179;1;137;0,006063891;-0,004271544;1 mA
0,624389648;15,39850596;0,000261139;1;138;0,006063891;-0,004271544;1 mA
0,614318848;15,49921396;0,000251038;1;139;0,006063891;-0,004271544;1 mA
0,604248047;15,59992196;0,000240936;1;140;0,006063891;-0,004271544;1 mA
0,594177246;15,70062996;0,000230774;1;141;0,006063891;-0,004271544;1 mA
0,584106445;15,80133796;0,000220642;1;142;0,006063891;-0,004271544;1 mA
0,574035645;15,90204596;0,00021051;1;143;0,006063891;-0,004271544;1 mA
0,563964844;16,00275396;0,000200317;1;144;0,006063891;-0,004271544;1 mA
0,553894043;16,10346196;0,000190186;1;145;0,006063891;-0,004271544;1 mA
0,543823242;16,20416996;0,000180115;1;146;0,006063891;-0,004271544;1 mA
0,533752441;16,30487796;0,000170197;1;147;0,006063891;-0,004271544;1 mA
0,523681641;16,40558596;0,000160461;1;148;0,006063891;-0,004271544;1 mA
0,51361084;16,50629396;0,000150848;1;149;0,006063891;-0,004271544;1 mA
0,503540039;16,60700196;0,00014151;1;150;0,006063891;-0,004271544;1 mA
0,493469238;16,70770996;0,000132385;1;151;0,006063891;-0,004271544;1 mA
0,483398438;16,80841796;0,000123535;1;152;0,006063891;-0,004271544;1 mA
0,473327637;16,90912596;0,000114929;1;153;0,006063891;-0,004271544;1 mA
0,463256836;17,00983396;0,000106659;1;154;0,006063891;-0,004271544;1 mA
0,453186035;17,11054196;9,87244E-05;1;155;0,006063891;-0,004271544;1 mA
0,443115234;17,21124996;9,11255E-05;1;156;0,006063891;-0,004271544;1 mA
0,433044434;17,31195796;8,38928E-05;1;157;0,006063891;-0,004271544;1 mA
0,422973633;17,41266596;7,69653E-05;1;158;0,006063891;-0,004271544;1 mA
0,412902832;17,51337396;7,04346E-05;1;159;0,006063891;-0,004271544;1 mA
0,402832031;17,61408196;6,44226E-05;1;160;0,006063891;-0,004271544;100 µA
0,39276123;17,71478996;5,86548E-05;1;161;0,006063891;-0,004271544;100 µA
0,38269043;17,81549796;5,32227E-05;1;162;0,006063891;-0,004271544;100 µA
0,372619629;17,91620595;4,81415E-05;1;163;0,006063891;-0,004271544;100 µA
0,362548828;18,01691395;4,34326E-05;1;164;0,006063891;-0,004271544;100 µA
0,352478027;18,11762195;3,90381E-05;1;165;0,006063891;-0,004271544;100 µA
0,342407227;18,21832995;3,49487E-05;1;166;0,006063891;-0,004271544;100 µA
0,332336426;18,31903795;3,11493E-05;1;167;0,006063891;-0,004271544;100 µA
0,322265625;18,41974595;2,76123E-05;1;168;0,006063891;-0,004271544;100 µA
0,312194824;18,52045395;2,43256E-05;1;169;0,006063891;-0,004271544;100 µA
0,302124023;18,62116195;2,12494E-05;1;170;0,006063891;-0,004271544;100 µA
