Potential applied (V);Time (s);WE(1).Current (A);Scan;Index;Q+;Q-;Current range
0,010070801;1,860158995;-0,00018988;1;1;0,017148151;-0,00931627;1 mA
0,020141602;1,960866995;-0,000170715;1;2;0,017148151;-0,00931627;1 mA
0,030212402;2,061574995;-0,000153107;1;3;0,017148151;-0,00931627;1 mA
0,040283203;2,162282995;-0,000136963;1;4;0,017148151;-0,00931627;1 mA
0,050354004;2,262990994;-0,000121918;1;5;0,017148151;-0,00931627;1 mA
0,060424805;2,363698994;-0,000107941;1;6;0,017148151;-0,00931627;1 mA
0,070495605;2,464406994;-9,49097E-05;1;7;0,017148151;-0,00931627;1 mA
0,080566406;2,565114994;-8,27637E-05;1;8;0,017148151;-0,00931627;1 mA
0,090637207;2,665822993;-7,13501E-05;1;9;0,017148151;-0,00931627;1 mA
0,100708008;2,766530993;-6,06689E-05;1;10;0,017148151;-0,00931627;1 mA
0,110778809;2,867238993;-5,05981E-05;1;11;0,017148151;-0,00931627;1 mA
0,120849609;2,967946993;-4,10431E-05;1;12;0,017148151;-0,00931627;100 µA
0,13092041;3,068654992;-3,20526E-05;1;13;0,017148151;-0,00931627;100 µA
0,140991211;3,169362992;-2,35382E-05;1;14;0,017148151;-0,00931627;100 µA
0,151062012;3,270070992;-1,53961E-05;1;15;0,017148151;-0,00931627;100 µA
0,161132813;3,370778991;-7,58972E-06;1;16;0,017148151;-0,00931627;100 µA
0,171203613;3,471486991;4,57764E-09;1;17;0,017148151;-0,00931627;100 µA
0,181274414;3,572194991;7,41577E-06;1;18;0,017148151;-0,00931627;100 µA
0,191345215;3,672902991;1,4682E-05;1;19;0,017148151;-0,00931627;100 µA
0,201416016;3,77361099;2,19299E-05;1;20;0,017148151;-0,00931627;100 µA
0,211486816;3,87431899;2,92725E-05;1;21;0,017148151;-0,00931627;100 µA
0,221557617;3,97502699;3,67645E-05;1;22;0,017148151;-0,00931627;100 µA
0,231628418;4,07573499;4,45526E-05;1;23;0,017148151;-0,00931627;100 µA
0,241699219;4,176442989;5,27344E-05;1;24;0,017148151;-0,00931627;100 µA
